date,ts,wp,hi,lo,open
2016-12-20,1482192000.0,791.4581866324593,799.21,788.58,791.0
2015-08-06,1438819200.0,280.32538320674274,282.61,278.95,282.44
2015-11-27,1448582400.0,356.19506030856957,364.46,347.96,352.56
2016-02-15,1455494400.0,402.3551153533886,409.09,394.03,406.62
2016-04-27,1461715200.0,462.214751761035,470.79,440.94,470.3
2017-03-13,1489363200.0,1237.9029701744428,1249.0,1206.0,1235.27
2017-09-02,1504310400.0,4716.357869134992,4980.0,4500.0,4948.0
2017-07-07,1499385600.0,2551.9373827531936,2607.61,2472.0,2604.89
2017-05-09,1494288000.0,1729.4904045935423,1794.7,1630.0,1712.99
2017-07-14,1499990400.0,2275.6723217544454,2349.28,2150.0,2340.0
2015-05-18,1431907200.0,236.48207516051386,237.89,231.66,237.1
2016-03-29,1459209600.0,418.43464199583934,424.62,407.75,422.81
2017-10-12,1507766400.0,5111.855349298057,5440.92,4809.68,4814.99
2017-10-21,1508544000.0,6081.372257837153,6189.1,5868.26,5989.1
2017-08-12,1502496000.0,3790.9920534866687,3974.0,3622.87,3656.14
2017-07-24,1500854400.0,2759.388626806459,2799.2,2726.8,2755.19
2017-10-28,1509148800.0,5777.74179732943,5894.0,5715.0,5780.0
2016-06-17,1466121600.0,753.3076187631589,778.5,709.01,769.71
2016-08-04,1470268800.0,581.5563213098741,599.95,562.11,573.35
2017-06-26,1498435200.0,2449.666472900276,2563.9,2258.34,2505.61
2017-02-15,1487116800.0,1012.389380467778,1016.0,1007.66,1013.92
2015-09-15,1442275200.0,231.25504078968686,232.43,230.26,231.02
2017-07-31,1501459200.0,2771.102947546805,2900.0,2700.0,2723.99
2017-01-09,1483920000.0,899.4610158744938,923.58,886.42,922.04
2017-12-06,1512518400.0,12730.867551916666,14425.0,11717.5,11718.34
2015-10-31,1446249600.0,323.8585565566599,334.28,306.29,329.11
2017-05-21,1495324800.0,2054.25648198694,2102.68,1988.6,2058.89
2016-01-06,1452038400.0,431.9356859264652,433.46,428.15,433.32
2015-12-02,1449014400.0,355.9444326521529,363.06,347.55,362.68
2016-02-13,1455321600.0,388.4209555087645,396.0,381.99,382.05
2017-09-19,1505779200.0,3968.2960007998536,4125.22,3850.44,4100.0
2016-11-11,1478822400.0,715.06599245725,718.99,712.5,713.0
2015-12-01,1448928000.0,367.548307003646,378.94,354.6,376.88
2017-01-21,1484956800.0,919.296107794159,930.0,891.28,894.31
